bin_left	bin_right	count
-339.554	8696.825	633467
8696.825	17385.65	9262
17385.65	26074.475	590
26074.475	34763.3	405
34763.3	43452.125	21
43452.125	52140.95	4
52140.95	60829.775	0
60829.775	69518.6	0
69518.6	78207.425	0
78207.425	86896.25	3
86896.25	95585.075	1
95585.075	104273.9	1
104273.9	112962.725	9
112962.725	121651.55	0
121651.55	130340.375	0
130340.375	139029.2	0
139029.2	147718.025	0
147718.025	156406.85	0
156406.85	165095.675	0
165095.675	173784.5	0
173784.5	182473.325	0
182473.325	191162.15	0
191162.15	199850.975	0
199850.975	208539.8	1
208539.8	217228.625	0
217228.625	225917.45	0
225917.45	234606.275	0
234606.275	243295.1	0
243295.1	251983.925	0
251983.925	260672.75	0
260672.75	269361.575	0
269361.575	278050.4	0
278050.4	286739.225	0
286739.225	295428.05	0
295428.05	304116.875	0
304116.875	312805.7	0
312805.7	321494.525	0
321494.525	330183.35	0
330183.35	338872.175	0
338872.175	347561.0	1
