bin_left	bin_right	count
-339.368	8692.175	629092
8692.175	17376.35	9252
17376.35	26060.525	587
26060.525	34744.7	405
34744.7	43428.875	21
43428.875	52113.05	4
52113.05	60797.225	0
60797.225	69481.4	0
69481.4	78165.575	0
78165.575	86849.75	3
86849.75	95533.925	1
95533.925	104218.1	1
104218.1	112902.275	9
112902.275	121586.45	0
121586.45	130270.625	0
130270.625	138954.8	0
138954.8	147638.975	0
147638.975	156323.15	0
156323.15	165007.325	0
165007.325	173691.5	0
173691.5	182375.675	0
182375.675	191059.85	0
191059.85	199744.025	0
199744.025	208428.2	1
208428.2	217112.375	0
217112.375	225796.55	0
225796.55	234480.725	0
234480.725	243164.9	0
243164.9	251849.075	0
251849.075	260533.25	0
260533.25	269217.425	0
269217.425	277901.6	0
277901.6	286585.775	0
286585.775	295269.95	0
295269.95	303954.125	0
303954.125	312638.3	0
312638.3	321322.475	0
321322.475	330006.65	0
330006.65	338690.825	0
338690.825	347375.0	1
