SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	METHODS	MUTATIONS	SAMPLES	%_SAMPLES_COHORT	QVALUE_COMBINATION	ROLE	DOMAINS	2D_CLUSTERS	3D_CLUSTERS	EXCESS_MIS	EXCESS_NON	EXCESS_SPL	IS_DRIVER	TOTAL_SAMPLES
BCL9	ENST00000234739	HARTWIG_WGS_COAD_2023	COAD	combination	9	7.0	0.056	0.0015124512360884	LoF				0.8144349373389173	0.978000412571794	0.0	True	125
BCL9	ENST00000234739	HARTWIG_WGS_COADREAD_2023	COADREAD	mutpanning	22	14.0	0.0265151515151515	0.0025228019722035	Act		359:359		0.7996517022598822	0.0	0.0	True	528
BCL9	ENST00000234739	TCGA_WXS_COADREAD	COADREAD	combination	23	15.0	0.0279850746268656	0.0066018237030648	LoF				0.8192389111897619	0.9504708919431872	0.9504708919431872	True	536
BCL9	ENST00000234739	PCAWG_WGS_STOMACH_ADENOCA	STAD	combination	2	2.0	0.0294117647058823	0.0034861282777661	LoF				0.7524182167440043	0.9858819468051088	0.0	True	68
CLTCL1	ENST00000427926	PCAWG_WGS_LIVER_HCC	HCC	combination	8	8.0	0.0254777070063694	0.0026253657664997	LoF				0.7852149099730029	0.8429099902097736	0.0	True	314
CLTCL1	ENST00000427926	OTHER_WGS_PRAD_CPGEA_2021	PRAD	combination	2	2.0	0.0096153846153846	0.0085438471082658	LoF				0.8672917108193808	0.9867372929392988	0.0	True	208
CRLF2	ENST00000400841	TCGA_WXS_LUAD	LUAD	combination	10	7.0	0.0125	0.2957221726907059	LoF		177:177		0.2872911859136323	0.4306643401916615	0.0	True	560
H3C2	ENST00000621411	HARTWIG_WGS_BLCA_2023	BLCA	combination	6	6.0	0.0416666666666666	0.0249449730527941	Act				0.9317818927201416	0.0	0.0	True	144
H3C2	ENST00000621411	TCGA_WXS_BLCA	BLCA	dndscv	13	13.0	0.0316301703163017	0.0049478408243092	Act				0.913713656537169	0.0	0.0	True	411
H3C2	ENST00000621411	TCGA_WXS_BRCA	BRCA	dndscv	16	14.0	0.0138751238850346	0.0341291472125331	LoF				0.9348969117348842	0.9679546539519504	0.0	True	1009
H3C2	ENST00000621411	CBIOP_WXS_DLBC_BROAD_2012	DLBCLNOS	combination	5	5.0	0.0862068965517241	0.0061128805132302	Act				0.9851705801820596	0.0	0.0	True	58
H3C2	ENST00000621411	ICGC_WXS_ESCA_ESCA_CN_2019	ESCA	combination	4	3.0	0.0142180094786729	0.0174390333435078	Act				0.969149222796416	0.0	0.0	True	211
H4C9	ENST00000615353	ICGC_WGS_CLLSLL_CLLE_ES_2019	CLLSLL	combination	2	2.0	0.0392156862745098	0.0024356098331676	Act				0.997441200380458	0.0	0.0	True	51
RECQL4	ENST00000617875	ICGC_WXS_STAD_GACA_CN_2019	STAD	combination	2	2.0	0.0238095238095238	0.0001653918346797	LoF				0.5826497763420471	0.973167272407842	0.0	True	84
RPL10	ENST00000369817	PCAWG_WGS_LYMPH_BNHL	NHL	oncodriveclustl	4	4.0	0.0380952380952381	2.064150944369879e-07	Act		20:20,72:72		0.9742680524971118	0.0	0.0	True	105
RPL10	ENST00000369817	OTHER_WGS_MM_NATLEUK2018	PCM	dndscv,mutpanning,hotmaps	15	15.0	0.0160771704180064	7.45739291939065e-12	Act			70,73,33,66	0.9206516369987864	0.0	0.0	True	933
ZNF274	ENST00000617501	PEDCBIOP_WXS_MBL_WNT_PRY	MBL	oncodrivefml,oncodriveclustl	2	2.0	0.0952380952380952	5.213326858932767e-06	Act				0.9899405229678117	0.0	0.0	True	21
